"user_profile_id";"user_username";"user_password";"user_first_name";"user_last_name";"user_email";"user_equipment";"user_age";"user_weight";"user_sex"
1;"jamalleelee";"123456";"jamal";"mcdowell";"jamalleelee@gmail.com";"barbell";27;150.0;"male"
2;"test";"123";"Testy";"Mctesttest";"test@gmail.com";"stuff";30;150.0;"male"
3;"stuff";"password2";"stuffy";"Mcstuffstuff";"stuff1@gmail.com";"yep";30;151.0;"Male"
4;"Tsdsestdsdsy";"passwsdhfrd1";"Tessdfty";"Mctessdfttest";"test1f@gdfmail.com";"stufsdff";30;151.0;"Male"
5;"Tsdsestdsdcxsy";"passwsdhfrd1";"Tessdfty";"Mctessdfttest";"tcest1f@gdfmail.com";"stufsdff";30;151.0;"Male"
6;"sdf";"123";"dsf";"sdf";"ssdf@test.com";"";0;0.0;""
7;"asdfsdafsda";"123";"sdsdafsdaf";"sdafsdafasd";"test@hotmail.com";"";0;0.0;""
8;"asdfasd";"1234";"dafasd";"asdfasd";"asdfasdf@yep.com";"";0;0.0;""
9;"asdfasdfasdf";"123456789";"hjadkhjk";"kjhjklh";"khljkh@testtsts.gov";"";0;0.0;""
10;"sdfaf";"1234";"sdf";"sdf";"sdaf@gmail.com";"";0;0.0;""
11;"asdfsdaf";"123456789";"asdfsdf";"fasdfsda";"asdfsdf@test.com";"";0;0.0;""
12;"nope";"123";"yepyepyepyoyoyo";"yoyoyoy";"njlasdf@govcom.com";"";0;0.0;""
14;"dsdfsdfsdfa";"123456";"yepyepyepyoyoyo";"yoyoyoy";"njlassdasdfdfdf@govcom.com";"";0;0.0;""
15;"jklasdf;j";"123";"ljasdlfj";"jklasd;dfj";"jkadsfj@jasdklfj.com";"";0;0.0;""
17;"a";"a";"a";"a";"a@a.com";"";0;0.0;""
18;"b";"b";"b";"b";"b@b.com";"";0;0.0;""
20;"c";"c";"c";"c";"c@c.com";"";0;0.0;""
21;"d";"d";"d";"d";"d@d.com";"";0;0.0;""
22;"e";"e";"e";"e";"e@e.com";"";0;0.0;""
23;"f";"f";"f";"f";"f@gmail.com";"";0;0.0;""
24;"g";"g";"g";"g";"g@g.com";"";0;0.0;""
25;"h";"h";"h";"h";"h@gmail.com";"";0;0.0;""
27;"i";"i";"i";"i";"i@i.com";"";0;0.0;""
28;"j";"j";"j";"j";"j@j.com";"";0;0.0;""
30;"l";"l";"l";"l";"l@l.com";"";0;0.0;""
31;"aa";"aa";"aa";"aa";"aa@gmail.com";"";0;0.0;""
32;"bb";"bb";"bb";"bb";"bb@b.com";"";0;0.0;""
33;"cc";"cc";"cc";"cc";"cc@c.com";"";0;0.0;""
34;"dd";"dd";"dd";"dd";"dd@d.com";"";0;0.0;""
